t8_aux001_sup002_cs000/final

Soft/default routing

====================================================================================================
Smoke Test Case: French
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Tu es un assistant virtuel. Raconte-moi ta routine matinale avant d'aller au travail. Utilise des verbes pronominaux.

### Response:


Generating...
Je me lève à 6 heures du matin, prends une douche, prépare un petit déjeuner sain et me prépare pour aller au travail.


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
<|end_of_text|>           |     0.4453 |     0.1641 |     0.3906

Showing Probabilities for Layer: base_model.model.model.layers.8.self_attn.q_proj (Sequence-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.8203 |     0.0820 |     0.0991
###                       |     0.8203 |     0.0820 |     0.0991
 Instruction              |     0.8203 |     0.0820 |     0.0991
:\n                       |     0.8203 |     0.0820 |     0.0991
Tu                        |     0.8203 |     0.0820 |     0.0991
 es                       |     0.8203 |     0.0820 |     0.0991
 un                       |     0.8203 |     0.0820 |     0.0991
 assistant                |     0.8203 |     0.0820 |     0.0991
 virt                     |     0.8203 |     0.0820 |     0.0991
uel                       |     0.8203 |     0.0820 |     0.0991
.                         |     0.8203 |     0.0820 |     0.0991
 Ra                       |     0.8203 |     0.0820 |     0.0991
conte                     |     0.8203 |     0.0820 |     0.0991
-m                        |     0.8203 |     0.0820 |     0.0991
oi                        |     0.8203 |     0.0820 |     0.0991
 ta                       |     0.8203 |     0.0820 |     0.0991
 routine                  |     0.8203 |     0.0820 |     0.0991
 mat                      |     0.8203 |     0.0820 |     0.0991
in                        |     0.8203 |     0.0820 |     0.0991
ale                       |     0.8203 |     0.0820 |     0.0991
 avant                    |     0.8203 |     0.0820 |     0.0991
                          |     0.8203 |     0.0820 |     0.0991
d                         |     0.8203 |     0.0820 |     0.0991
aller                     |     0.8203 |     0.0820 |     0.0991
 au                       |     0.8203 |     0.0820 |     0.0991
 travail                  |     0.8203 |     0.0820 |     0.0991
.                         |     0.8203 |     0.0820 |     0.0991
 Util                     |     0.8203 |     0.0820 |     0.0991
ise                       |     0.8203 |     0.0820 |     0.0991
 des                      |     0.8203 |     0.0820 |     0.0991
 ver                      |     0.8203 |     0.0820 |     0.0991
bes                       |     0.8203 |     0.0820 |     0.0991
 pr                       |     0.8203 |     0.0820 |     0.0991
onom                      |     0.8203 |     0.0820 |     0.0991
ina                       |     0.8203 |     0.0820 |     0.0991
ux                        |     0.8203 |     0.0820 |     0.0991
.\n\n                     |     0.8203 |     0.0820 |     0.0991
###                       |     0.8203 |     0.0820 |     0.0991
 Response                 |     0.8203 |     0.0820 |     0.0991
:\n                       |     0.8203 |     0.0820 |     0.0991
Je                        |     0.8203 |     0.0820 |     0.0991
 me                       |     0.8203 |     0.0820 |     0.0991
 l                        |     0.8203 |     0.0820 |     0.0991
ève                       |     0.8203 |     0.0820 |     0.0991
 à                        |     0.8203 |     0.0820 |     0.0991
                          |     0.8203 |     0.0820 |     0.0991
6                         |     0.8203 |     0.0820 |     0.0991
 heures                   |     0.8203 |     0.0820 |     0.0991
 du                       |     0.8203 |     0.0820 |     0.0991
 mat                      |     0.8203 |     0.0820 |     0.0991
in                        |     0.8203 |     0.0820 |     0.0991
,                         |     0.8203 |     0.0820 |     0.0991
 prend                    |     0.8203 |     0.0820 |     0.0991
s                         |     0.8203 |     0.0820 |     0.0991
 une                      |     0.8203 |     0.0820 |     0.0991
 douche                   |     0.8203 |     0.0820 |     0.0991
,                         |     0.8203 |     0.0820 |     0.0991
 pré                      |     0.8203 |     0.0820 |     0.0991
pare                      |     0.8203 |     0.0820 |     0.0991
 un                       |     0.8203 |     0.0820 |     0.0991
 petit                    |     0.8203 |     0.0820 |     0.0991
 dé                       |     0.8203 |     0.0820 |     0.0991
je                        |     0.8203 |     0.0820 |     0.0991
uner                      |     0.8203 |     0.0820 |     0.0991
 s                        |     0.8203 |     0.0820 |     0.0991
ain                       |     0.8203 |     0.0820 |     0.0991
 et                       |     0.8203 |     0.0820 |     0.0991
 me                       |     0.8203 |     0.0820 |     0.0991
 pré                      |     0.8203 |     0.0820 |     0.0991
pare                      |     0.8203 |     0.0820 |     0.0991
 pour                     |     0.8203 |     0.0820 |     0.0991
 aller                    |     0.8203 |     0.0820 |     0.0991
 au                       |     0.8203 |     0.0820 |     0.0991
 travail                  |     0.8203 |     0.0820 |     0.0991
.                         |     0.8203 |     0.0820 |     0.0991
<|end_of_text|>           |     0.8203 |     0.0820 |     0.0991

====================================================================================================
Smoke Test Case: Catalan
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Ets un assistent virtual. Explica la teva rutina del mati abans d'anar a la feina. Utilitza verbs pronominals.

### Response:


Generating...
Je me réveille à 6h30 du matin, puis je me lave le visage et les mains. Je prends ensuite une tasse de café pour m'aider à me réveiller. Ensuite, je prends une douche pour me rafraîchir. Après cela, je me prépare un petit déjeuner sain. Ensuite


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.2520 |     0.3574 |     0.3906
###                       |     0.5703 |     0.2002 |     0.2305
 Instruction              |     0.1895 |     0.3477 |     0.4629
:\n                       |     0.1934 |     0.3438 |     0.4629
E                         |     0.0693 |     0.1846 |     0.7461
ts                        |     0.1904 |     0.3086 |     0.5000
 un                       |     0.4375 |     0.3359 |     0.2266
 assist                   |     0.3633 |     0.3418 |     0.2949
ent                       |     0.6875 |     0.2305 |     0.0806
 virtual                  |     0.6016 |     0.2812 |     0.1177
.                         |     0.6719 |     0.2266 |     0.1025
 Exp                      |     0.3691 |     0.3516 |     0.2793
lica                      |     0.3066 |     0.3301 |     0.3633
 la                       |     0.3203 |     0.4277 |     0.2500
 te                       |     0.0258 |     0.5352 |     0.4395
va                        |     0.3613 |     0.4082 |     0.2285
 rut                      |     0.2021 |     0.5078 |     0.2871
ina                       |     0.3711 |     0.4121 |     0.2168
 del                      |     0.3848 |     0.3828 |     0.2324
 mat                      |     0.2656 |     0.4336 |     0.3008
i                         |     0.3984 |     0.2314 |     0.3711
                          |     0.0649 |     0.1367 |     0.7969
abans                     |     0.4297 |     0.2441 |     0.3262
                          |     0.0811 |     0.1309 |     0.7891
d                         |     0.3203 |     0.3359 |     0.3438
anar                      |     0.5195 |     0.1426 |     0.3379
 a                        |     0.4727 |     0.3320 |     0.1963
 la                       |     0.5039 |     0.3262 |     0.1689
 fe                       |     0.2471 |     0.4668 |     0.2871
ina                       |     0.6250 |     0.2334 |     0.1396
.                         |     0.5000 |     0.3867 |     0.1138
 Util                     |     0.2158 |     0.4902 |     0.2930
it                        |     0.2334 |     0.6289 |     0.1367
za                        |     0.3438 |     0.3613 |     0.2949
 verbs                    |     0.6445 |     0.2227 |     0.1338
 pr                       |     0.2852 |     0.3262 |     0.3887
onom                      |     0.6992 |     0.1621 |     0.1387
inals                     |     0.7617 |     0.1455 |     0.0913
.\n\n                     |     0.6211 |     0.2676 |     0.1089
###                       |     0.8750 |     0.0918 |     0.0342
 Response                 |     0.0114 |     0.9805 |     0.0079
:\n                       |     0.8789 |     0.0811 |     0.0398
Je                        |     0.7617 |     0.1011 |     0.1387
 me                       |     0.8125 |     0.0762 |     0.1094
 ré                       |     0.7617 |     0.0522 |     0.1855
ve                        |     0.6172 |     0.2246 |     0.1592
ille                      |     0.7734 |     0.1689 |     0.0581
 à                        |     0.7617 |     0.1338 |     0.1045
                          |     0.4629 |     0.2158 |     0.3223
6                         |     0.5312 |     0.3379 |     0.1318
h                         |     0.4961 |     0.3496 |     0.1543
30                        |     0.4902 |     0.3262 |     0.1846
 du                       |     0.6055 |     0.1875 |     0.2051
 mat                      |     0.2461 |     0.4062 |     0.3477
in                        |     0.4844 |     0.3809 |     0.1357
,                         |     0.6211 |     0.2832 |     0.0942
 puis                     |     0.6602 |     0.1494 |     0.1904
 je                       |     0.8047 |     0.1050 |     0.0923
 me                       |     0.8125 |     0.0859 |     0.1030
 l                        |     0.4355 |     0.1621 |     0.4023
ave                       |     0.7031 |     0.1943 |     0.1025
 le                       |     0.5859 |     0.2178 |     0.1963
 vis                      |     0.4492 |     0.1631 |     0.3887
age                       |     0.6758 |     0.1611 |     0.1611
 et                       |     0.7148 |     0.2178 |     0.0664
 les                      |     0.7188 |     0.1367 |     0.1455
 mains                    |     0.6172 |     0.2402 |     0.1436
.                         |     0.7266 |     0.2002 |     0.0747
 Je                       |     0.7539 |     0.1152 |     0.1299
 prend                    |     0.4160 |     0.1826 |     0.4004
s                         |     0.7695 |     0.1025 |     0.1279
 ensuite                  |     0.6719 |     0.1719 |     0.1553
 une                      |     0.7070 |     0.1768 |     0.1147
 t                        |     0.4141 |     0.2539 |     0.3320
asse                      |     0.5977 |     0.2656 |     0.1367
 de                       |     0.5234 |     0.3281 |     0.1494
 café                     |     0.5547 |     0.2754 |     0.1699
 pour                     |     0.6562 |     0.2275 |     0.1162
                          |     0.3340 |     0.1807 |     0.4863
m'a                       |     0.3516 |     0.1318 |     0.5156
ider                      |     0.7383 |     0.1396 |     0.1226
 à                        |     0.7383 |     0.1416 |     0.1206
 me                       |     0.6719 |     0.1543 |     0.1729
 ré                       |     0.6797 |     0.1069 |     0.2129
ve                        |     0.4883 |     0.2812 |     0.2305
iller                     |     0.6797 |     0.2080 |     0.1118
.                         |     0.6406 |     0.2354 |     0.1240
 En                       |     0.6914 |     0.1572 |     0.1514
suite                     |     0.7617 |     0.0918 |     0.1455
,                         |     0.6992 |     0.1670 |     0.1318
 je                       |     0.7812 |     0.1226 |     0.0947
 prend                    |     0.4355 |     0.1914 |     0.3730
s                         |     0.7969 |     0.1089 |     0.0952
 une                      |     0.6719 |     0.1973 |     0.1299
 douche                   |     0.5430 |     0.2969 |     0.1592
 pour                     |     0.5820 |     0.2451 |     0.1719
 me                       |     0.6875 |     0.1836 |     0.1299
 r                        |     0.4707 |     0.1758 |     0.3535
af                        |     0.6094 |     0.1104 |     0.2812
ra                        |     0.3223 |     0.1221 |     0.5547
î                         |     0.4316 |     0.2129 |     0.3555
ch                        |     0.5039 |     0.2773 |     0.2197
ir                        |     0.7031 |     0.1943 |     0.1006
.                         |     0.6875 |     0.2217 |     0.0918
 Apr                      |     0.6016 |     0.1709 |     0.2295
ès                        |     0.6719 |     0.1660 |     0.1611
 cela                     |     0.5430 |     0.2197 |     0.2363
,                         |     0.6289 |     0.2520 |     0.1177
 je                       |     0.7422 |     0.1455 |     0.1113
 me                       |     0.7734 |     0.0918 |     0.1357
 pré                      |     0.5625 |     0.0933 |     0.3438
pare                      |     0.6367 |     0.2637 |     0.1011
 un                       |     0.6367 |     0.2197 |     0.1455
 petit                    |     0.6602 |     0.1895 |     0.1484
 dé                       |     0.5859 |     0.1514 |     0.2617
je                        |     0.5312 |     0.1318 |     0.3359
uner                      |     0.5781 |     0.3008 |     0.1196
 s                        |     0.5742 |     0.1641 |     0.2617
ain                       |     0.5977 |     0.1982 |     0.2041
.                         |     0.5742 |     0.2949 |     0.1289
 En                       |     0.6953 |     0.1533 |     0.1523
suite                     |     0.6719 |     0.1270 |     0.1992

Showing Probabilities for Layer: base_model.model.model.layers.8.self_attn.q_proj (Sequence-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.7344 |     0.1396 |     0.1270
###                       |     0.7344 |     0.1396 |     0.1270
 Instruction              |     0.7344 |     0.1396 |     0.1270
:\n                       |     0.7344 |     0.1396 |     0.1270
E                         |     0.7344 |     0.1396 |     0.1270
ts                        |     0.7344 |     0.1396 |     0.1270
 un                       |     0.7344 |     0.1396 |     0.1270
 assist                   |     0.7344 |     0.1396 |     0.1270
ent                       |     0.7344 |     0.1396 |     0.1270
 virtual                  |     0.7344 |     0.1396 |     0.1270
.                         |     0.7344 |     0.1396 |     0.1270
 Exp                      |     0.7344 |     0.1396 |     0.1270
lica                      |     0.7344 |     0.1396 |     0.1270
 la                       |     0.7344 |     0.1396 |     0.1270
 te                       |     0.7344 |     0.1396 |     0.1270
va                        |     0.7344 |     0.1396 |     0.1270
 rut                      |     0.7344 |     0.1396 |     0.1270
ina                       |     0.7344 |     0.1396 |     0.1270
 del                      |     0.7344 |     0.1396 |     0.1270
 mat                      |     0.7344 |     0.1396 |     0.1270
i                         |     0.7344 |     0.1396 |     0.1270
                          |     0.7344 |     0.1396 |     0.1270
abans                     |     0.7344 |     0.1396 |     0.1270
                          |     0.7344 |     0.1396 |     0.1270
d                         |     0.7344 |     0.1396 |     0.1270
anar                      |     0.7344 |     0.1396 |     0.1270
 a                        |     0.7344 |     0.1396 |     0.1270
 la                       |     0.7344 |     0.1396 |     0.1270
 fe                       |     0.7344 |     0.1396 |     0.1270
ina                       |     0.7344 |     0.1396 |     0.1270
.                         |     0.7344 |     0.1396 |     0.1270
 Util                     |     0.7344 |     0.1396 |     0.1270
it                        |     0.7344 |     0.1396 |     0.1270
za                        |     0.7344 |     0.1396 |     0.1270
 verbs                    |     0.7344 |     0.1396 |     0.1270
 pr                       |     0.7344 |     0.1396 |     0.1270
onom                      |     0.7344 |     0.1396 |     0.1270
inals                     |     0.7344 |     0.1396 |     0.1270
.\n\n                     |     0.7344 |     0.1396 |     0.1270
###                       |     0.7344 |     0.1396 |     0.1270
 Response                 |     0.7344 |     0.1396 |     0.1270
:\n                       |     0.7344 |     0.1396 |     0.1270
Je                        |     0.7344 |     0.1396 |     0.1270
 me                       |     0.7344 |     0.1396 |     0.1270
 ré                       |     0.7344 |     0.1396 |     0.1270
ve                        |     0.7344 |     0.1396 |     0.1270
ille                      |     0.7344 |     0.1396 |     0.1270
 à                        |     0.7344 |     0.1396 |     0.1270
                          |     0.7344 |     0.1396 |     0.1270
6                         |     0.7344 |     0.1396 |     0.1270
h                         |     0.7344 |     0.1396 |     0.1270
30                        |     0.7344 |     0.1396 |     0.1270
 du                       |     0.7344 |     0.1396 |     0.1270
 mat                      |     0.7344 |     0.1396 |     0.1270
in                        |     0.7344 |     0.1396 |     0.1270
,                         |     0.7344 |     0.1396 |     0.1270
 puis                     |     0.7344 |     0.1396 |     0.1270
 je                       |     0.7344 |     0.1396 |     0.1270
 me                       |     0.7344 |     0.1396 |     0.1270
 l                        |     0.7344 |     0.1396 |     0.1270
ave                       |     0.7344 |     0.1396 |     0.1270
 le                       |     0.7344 |     0.1396 |     0.1270
 vis                      |     0.7344 |     0.1396 |     0.1270
age                       |     0.7344 |     0.1396 |     0.1270
 et                       |     0.7344 |     0.1396 |     0.1270
 les                      |     0.7344 |     0.1396 |     0.1270
 mains                    |     0.7344 |     0.1396 |     0.1270
.                         |     0.7344 |     0.1396 |     0.1270
 Je                       |     0.7344 |     0.1396 |     0.1270
 prend                    |     0.7344 |     0.1396 |     0.1270
s                         |     0.7344 |     0.1396 |     0.1270
 ensuite                  |     0.7344 |     0.1396 |     0.1270
 une                      |     0.7344 |     0.1396 |     0.1270
 t                        |     0.7344 |     0.1396 |     0.1270
asse                      |     0.7344 |     0.1396 |     0.1270
 de                       |     0.7344 |     0.1396 |     0.1270
 café                     |     0.7344 |     0.1396 |     0.1270
 pour                     |     0.7344 |     0.1396 |     0.1270
                          |     0.7344 |     0.1396 |     0.1270
m'a                       |     0.7344 |     0.1396 |     0.1270
ider                      |     0.7344 |     0.1396 |     0.1270
 à                        |     0.7344 |     0.1396 |     0.1270
 me                       |     0.7344 |     0.1396 |     0.1270
 ré                       |     0.7344 |     0.1396 |     0.1270
ve                        |     0.7344 |     0.1396 |     0.1270
iller                     |     0.7344 |     0.1396 |     0.1270
.                         |     0.7344 |     0.1396 |     0.1270
 En                       |     0.7344 |     0.1396 |     0.1270
suite                     |     0.7344 |     0.1396 |     0.1270
,                         |     0.7344 |     0.1396 |     0.1270
 je                       |     0.7344 |     0.1396 |     0.1270
 prend                    |     0.7344 |     0.1396 |     0.1270
s                         |     0.7344 |     0.1396 |     0.1270
 une                      |     0.7344 |     0.1396 |     0.1270
 douche                   |     0.7344 |     0.1396 |     0.1270
 pour                     |     0.7344 |     0.1396 |     0.1270
 me                       |     0.7344 |     0.1396 |     0.1270
 r                        |     0.7344 |     0.1396 |     0.1270
af                        |     0.7344 |     0.1396 |     0.1270
ra                        |     0.7344 |     0.1396 |     0.1270
î                         |     0.7344 |     0.1396 |     0.1270
ch                        |     0.7344 |     0.1396 |     0.1270
ir                        |     0.7344 |     0.1396 |     0.1270
.                         |     0.7344 |     0.1396 |     0.1270
 Apr                      |     0.7344 |     0.1396 |     0.1270
ès                        |     0.7344 |     0.1396 |     0.1270
 cela                     |     0.7344 |     0.1396 |     0.1270
,                         |     0.7344 |     0.1396 |     0.1270
 je                       |     0.7344 |     0.1396 |     0.1270
 me                       |     0.7344 |     0.1396 |     0.1270
 pré                      |     0.7344 |     0.1396 |     0.1270
pare                      |     0.7344 |     0.1396 |     0.1270
 un                       |     0.7344 |     0.1396 |     0.1270
 petit                    |     0.7344 |     0.1396 |     0.1270
 dé                       |     0.7344 |     0.1396 |     0.1270
je                        |     0.7344 |     0.1396 |     0.1270
uner                      |     0.7344 |     0.1396 |     0.1270
 s                        |     0.7344 |     0.1396 |     0.1270
ain                       |     0.7344 |     0.1396 |     0.1270
.                         |     0.7344 |     0.1396 |     0.1270
 En                       |     0.7344 |     0.1396 |     0.1270
suite                     |     0.7344 |     0.1396 |     0.1270

====================================================================================================
Smoke Test Case: Occitan
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Sès un assistent virtual. Conta-me ta rutina del matin abans d'anar al trabalh. Utiliza de vèrbs pronominals.

### Response:


Generating...
Je me réveille à 6 heures du matin, puis je me lave le visage et les mains. Je prends mon petit déjeuner, puis je me prépare pour aller au travail. Je prends mon parapluie et mon sac à dos, et je pars pour le travail.


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.2520 |     0.3574 |     0.3906
###                       |     0.5703 |     0.2002 |     0.2305
 Instruction              |     0.1895 |     0.3477 |     0.4629
:\n                       |     0.1934 |     0.3438 |     0.4629
S                         |     0.0596 |     0.1416 |     0.7969
ès                        |     0.0283 |     0.0186 |     0.9531
 un                       |     0.4258 |     0.1787 |     0.3945
 assist                   |     0.3008 |     0.2266 |     0.4727
ent                       |     0.6406 |     0.2314 |     0.1270
 virtual                  |     0.5625 |     0.3008 |     0.1357
.                         |     0.5742 |     0.2197 |     0.2070
 Cont                     |     0.2617 |     0.2109 |     0.5273
a                         |     0.0156 |     0.0280 |     0.9570
-me                       |     0.4746 |     0.2217 |     0.3047
 ta                       |     0.3301 |     0.1855 |     0.4844
 rut                      |     0.2500 |     0.1924 |     0.5586
ina                       |     0.3574 |     0.4023 |     0.2402
 del                      |     0.4043 |     0.3418 |     0.2539
 mat                      |     0.2402 |     0.3223 |     0.4375
in                        |     0.4922 |     0.3711 |     0.1367
                          |     0.1040 |     0.1514 |     0.7461
abans                     |     0.6172 |     0.1982 |     0.1846
                          |     0.1289 |     0.1562 |     0.7148
d                         |     0.3730 |     0.2910 |     0.3379
anar                      |     0.5859 |     0.1475 |     0.2676
 al                       |     0.5156 |     0.3164 |     0.1670
                          |     0.2441 |     0.2139 |     0.5430
trabalh                   |     0.6992 |     0.1357 |     0.1650
.                         |     0.4414 |     0.4473 |     0.1118
 Util                     |     0.3145 |     0.3066 |     0.3789
iza                       |     0.0498 |     0.0669 |     0.8828
 de                       |     0.3184 |     0.1030 |     0.5781
 v                        |     0.1572 |     0.1318 |     0.7109
è                         |     0.0266 |     0.0198 |     0.9531
r                         |     0.0820 |     0.0601 |     0.8594
bs                        |     0.6953 |     0.1279 |     0.1777
 pr                       |     0.3047 |     0.2734 |     0.4199
onom                      |     0.6914 |     0.1621 |     0.1475
inals                     |     0.7227 |     0.1709 |     0.1074
.\n\n                     |     0.5781 |     0.2812 |     0.1406
###                       |     0.8789 |     0.0874 |     0.0322
 Response                 |     0.0125 |     0.9766 |     0.0099
:\n                       |     0.8672 |     0.0825 |     0.0505
Je                        |     0.8008 |     0.0898 |     0.1099
 me                       |     0.8242 |     0.0742 |     0.1021
 ré                       |     0.7500 |     0.0605 |     0.1914
ve                        |     0.5977 |     0.2441 |     0.1572
ille                      |     0.7734 |     0.1738 |     0.0515
 à                        |     0.7578 |     0.1504 |     0.0918
                          |     0.3633 |     0.1953 |     0.4414
6                         |     0.5352 |     0.3398 |     0.1240
 heures                   |     0.5781 |     0.3047 |     0.1167
 du                       |     0.7031 |     0.1348 |     0.1621
 mat                      |     0.3789 |     0.4395 |     0.1797
in                        |     0.4707 |     0.3848 |     0.1445
,                         |     0.6055 |     0.2891 |     0.1045
 puis                     |     0.6211 |     0.1650 |     0.2119
 je                       |     0.7891 |     0.1157 |     0.0957
 me                       |     0.8047 |     0.0908 |     0.1045
 l                        |     0.4434 |     0.1562 |     0.4004
ave                       |     0.7148 |     0.1924 |     0.0908
 le                       |     0.5938 |     0.2168 |     0.1895
 vis                      |     0.4707 |     0.1572 |     0.3711
age                       |     0.6875 |     0.1582 |     0.1553
 et                       |     0.7031 |     0.2324 |     0.0659
 les                      |     0.7148 |     0.1377 |     0.1475
 mains                    |     0.6172 |     0.2373 |     0.1455
.                         |     0.7148 |     0.2148 |     0.0688
 Je                       |     0.7344 |     0.1270 |     0.1396
 prend                    |     0.4492 |     0.1836 |     0.3672
s                         |     0.7695 |     0.1074 |     0.1235
 mon                      |     0.5156 |     0.1934 |     0.2930
 petit                    |     0.5820 |     0.2070 |     0.2119
 dé                       |     0.5781 |     0.1465 |     0.2773
je                        |     0.4844 |     0.1260 |     0.3906
uner                      |     0.6367 |     0.2598 |     0.1030
,                         |     0.6406 |     0.2578 |     0.1001
 puis                     |     0.6680 |     0.1904 |     0.1436
 je                       |     0.7383 |     0.1670 |     0.0952
 me                       |     0.7812 |     0.1021 |     0.1172
 pré                      |     0.4824 |     0.0967 |     0.4219
pare                      |     0.5859 |     0.2910 |     0.1206
 pour                     |     0.5703 |     0.2295 |     0.2002
 aller                    |     0.7695 |     0.1230 |     0.1084
 au                       |     0.6719 |     0.1729 |     0.1543
 travail                  |     0.6758 |     0.2217 |     0.1025
.                         |     0.6602 |     0.2236 |     0.1152
 Je                       |     0.7695 |     0.1211 |     0.1108
 prend                    |     0.5000 |     0.1875 |     0.3125
s                         |     0.8164 |     0.0972 |     0.0854
 mon                      |     0.5430 |     0.1992 |     0.2559
 par                      |     0.4277 |     0.1611 |     0.4121
ap                        |     0.3535 |     0.2061 |     0.4395
lu                        |     0.5469 |     0.2217 |     0.2314
ie                        |     0.6797 |     0.1533 |     0.1660
 et                       |     0.6445 |     0.2256 |     0.1289
 mon                      |     0.5391 |     0.2080 |     0.2559
 sac                      |     0.4766 |     0.2930 |     0.2324
 à                        |     0.5469 |     0.2334 |     0.2217
 dos                      |     0.4316 |     0.2236 |     0.3457
